metaid,condition,posture,inst,label_3class,head_yaw_mean,head_pitch_mean,head_roll_mean,cam_distance_mean,gaze_x_mean,gaze_y_mean,l_eye_x_mean,l_eye_y_mean,r_eye_x_mean,r_eye_y_mean,l_EAR_mean,r_EAR_mean,head_tilt_angle_mean,head_yaw_std,head_pitch_std,head_roll_std,gaze_x_std,gaze_y_std,gaze_stability,head_stability,gaze_jitter,saccade_frequency,fixation_duration,gaze_direction_prob,blink_frequency,distance_change
001,A,U,L,1,-0.3286346551724138,4.236353275862069,-2.4264662068965515,64.07241379310345,944.8275862068965,506.08103448275864,880.3818965517241,500.98275862068965,994.9077586206896,493.86724137931037,0.8813849690334887,0.852692411640865,6.804230084312631,0.15813654051591083,8.041900808558074,5.50986958110225,253.40230889448935,127.0240698457246,1.0,1.0,10.579721630461172,0.029310344827586206,37,0.27241379310344827,0.0,7.048472397556799
001,D,C,L,1,-0.31831229357798163,1.9392262385321102,-2.966528440366973,62.5045871559633,738.2899082568807,224.45504587155963,884.3908256880734,497.69633027522934,999.683486238532,490.3834862385321,0.8550888558065702,0.8661507531354696,5.429056885358836,0.13596547266375517,5.831188369098492,5.530897400537658,278.7909037335816,125.15143142573918,1.0,1.0,18.65455125947846,0.05871559633027523,37,0.062385321100917435,0.0,6.9218757774971005
001,F,C,L,2,-0.3500784697508897,1.04391103202847,-2.1460951957295378,64.79537366548043,952.7455516014235,965.126334519573,897.7001779359431,492.83985765124555,1013.8870106761566,488.38078291814946,0.8640772539610543,0.8637359955031481,5.079427442015155,0.10812163604431063,4.84942568142866,5.432123652807311,938.0849292188803,318.1869315435168,1.0,1.0,102.43389867492724,0.08185053380782918,35,0.0,0.0,6.0718515077577635
001,N,D,L,0,-0.34500324483775807,0.13956224188790525,-3.483412979351032,65.80825958702064,1011.4926253687315,443.8495575221239,888.3510324483776,462.13569321533924,995.2050147492625,460.46755162241885,0.8496406815983142,0.8441733299039217,11.521620066999548,0.08693820335420804,11.613028709469916,6.051532038380613,944.8787636009362,521.833849091352,1.0,1.0,82.1139240952823,0.07669616519174041,64,0.0,0.0,5.843216290450008
001,S,D,L,0,-0.3571177083333334,1.8211679687500002,-1.7798583333333333,63.5,968.0416666666666,581.6744791666666,707.5572916666666,384.39453125,804.47265625,378.3190104166667,0.7422970028124358,0.7394673239058962,4.892660345013948,0.1400716329196656,4.405797000142517,4.789937675396858,243.159078968776,144.01124402989765,1.0,1.0,11.534301973416024,0.033854166666666664,41,0.2890625,0.0,7.653634757420816
002,A,U,L,1,-0.2579734693877551,-0.12805442176870746,-4.676090816326531,70.93877551020408,1076.4404761904761,523.7874149659864,930.5952380952381,459.9566326530612,1032.2619047619048,455.03146258503403,0.9138506950167972,0.8955195615217634,5.6397107770121755,0.05878820771615484,1.4714469950636848,7.7493297983192235,207.65947635585076,127.03410336937037,1.0,1.0,9.024349589113381,0.027210884353741496,66,0.23809523809523808,0.0,6.6257839888281245
002,D,C,L,1,-0.2740370175438596,-0.5233371929824562,-4.68537,72.7578947368421,801.438596491228,171.15263157894736,937.0956140350877,459.27719298245614,1038.9368421052632,454.6719298245614,0.9135239436304963,0.8908074434988856,5.832231839700636,0.07635760664807756,1.9892183931273746,7.76114986701988,326.45029751896925,124.11983070578789,1.0,1.0,18.62418759160872,0.054385964912280704,55,0.0,0.0,6.001840284107634
002,F,C,L,2,-0.27071821631878557,-0.43645313092979143,-1.9978648956356737,73.98671726755218,1034.5559772296015,988.618595825427,932.1480075901328,461.28273244781786,1033.6992409867173,456.63187855787476,0.9239902468463109,0.8986265172758301,4.549248241930752,0.056530097053322494,2.5000074439860027,5.238847924685911,936.7366662710701,286.3695342522218,1.0,1.0,98.62196578118349,0.07590132827324478,55,0.0,0.0,5.7929006837530945
002,N,D,L,0,-0.3685147668393782,2.4966095854922266,-8.264302590673577,70.64507772020725,770.8316062176166,565.3367875647668,932.0401554404145,440.38860103626945,1031.3497409326426,436.75,0.9054367185813942,0.8867278177040238,20.649555112684947,0.1008273986911723,20.142290249346544,11.308662548377868,922.9432761824534,530.5842900773883,1.0,1.0,84.82196648388458,0.10103626943005181,37,0.0,0.0,6.523845390007035
002,S,D,L,0,-0.30912189616252816,-1.4385304740406324,-8.078488487584652,70.18735891647856,966.4379232505644,578.0248306997743,879.3318284424379,413.1185101580135,977.7076749435666,408.9909706546275,0.8763343227834506,0.8514408857255154,10.232923904099366,0.11253514240062731,2.5808110472359838,10.277817275269417,286.63959208934034,133.4896468171999,1.0,1.0,13.19299609610627,0.03160270880361174,35,0.1399548532731377,0.0,7.137072831371318
003,D,D,M,1,-0.021317635270541084,1.932693386773547,6.207222444889779,158.65752505010022,811.4008016032064,244.97795591182364,983.3186372745491,565.7054108216433,1065.4889779559119,572.2124248496993,0.8589160578235479,0.8740849452036061,6.630798213039795,0.009355206527701151,1.349224843147285,1.1639851534651047,320.6810894391095,138.65173178122873,1.0,1.0,23.72794412477342,0.06412825651302605,37,0.0,0.0,21.44708396921219
003,F,D,L,2,-0.015739889705882353,1.1410386029411768,4.565958088235294,156.3689319852941,1270.1636029411766,980.5202205882352,975.5827205882352,560.0919117647059,1056.7481617647059,566.1966911764706,0.8643865078454777,0.8766822778969434,4.878196433105363,0.011976310594562337,1.619510572084265,2.8942190705876505,889.9139532962394,297.28622099967566,1.0,1.0,117.03522315003681,0.08088235294117647,38,0.0,0.0,14.906481334774378
003,N,D,L,0,-0.024325,1.7712526785714289,6.250322916666668,162.41064285714288,1369.4136904761904,212.74404761904762,983.3392857142857,565.0654761904761,1063.080357142857,572.5922619047619,0.8777248963677813,0.8842464642739687,7.1342058187234985,0.008412128770279328,3.044825904646232,1.0937546077938474,849.8631838916189,412.5066294830284,1.0,1.0,106.6388550846164,0.1130952380952381,40,0.0,0.0,12.509185169728049
003,A,D,L,1,-0.02154782608695652,1.5215813664596274,6.243878881987578,167.6224409937888,855.0745341614906,573.0248447204968,970.2173913043479,547.27950310559,1047.5652173913043,552.4782608695652,0.888053457902553,0.8916114569181786,6.624450852809358,0.013133302549989671,1.546123074467431,1.237691150005219,223.21112631304445,99.58821154575469,1.0,1.0,5.839309923117444,0.031055900621118012,33,0.3416149068322981,0.0,14.735226150281317
003,S,D,L,0,-0.017256849315068497,1.2234123287671228,5.961225342465753,163.81650684931506,936.9383561643835,575.6506849315068,942.7739726027397,529.8630136986301,1019.8493150684932,535.5342465753424,0.8369182466305435,0.8525731565711526,6.20227103184968,0.011215973261898417,1.056107304493996,1.072868775008301,290.15539766566565,135.31549812941012,1.0,1.0,15.158242732847308,0.0273972602739726,35,0.3972602739726027,0.0,16.06463265688444
004,D,D,L,1,-0.005140918163672655,0.4302387225548902,2.3695041916167665,161.9849620758483,757.5888223552894,144.18562874251498,892.1497005988024,554.6347305389221,973.3333333333334,562.9620758483034,0.8466210620615434,0.8145736731476245,2.8118441533069136,0.01352487125096906,1.1546468630614146,2.3375500304982553,314.7335612781236,94.6234403995854,0.23809523809523814,0.7249637647776878,19.09955066853673,0.06786427145708583,35,0.0,0.0,14.773158267958094
