ID,Display,F_C_T,F_D_T,S_C_T,S_D_T,Target
001,Monitor,97,96,37,62,T
001,Laptop,108,98,99,98,T
002,Monitor,93,60,74,91,T
002,Laptop,97,90,98,88,T
003,Monitor,94,83,26,32,T
003,Laptop,90,109,25,35,T
004,Monitor,67,80,16,35,T
004,Laptop,73,92,29,33,T
005,Monitor,85,93,68,98,T
005,Laptop,86,84,66,71,T
006,Monitor,95,54,97,81,T
006,Laptop,70,91,84,96,T
007,Monitor,87,94,77,87,T
007,Laptop,97,93,89,86,T
008,Monitor,89,77,62,73,T
008,Laptop,54,16,26,25,T
009,Monitor,89,81,86,103,T
009,Laptop,94,96,99,94,T
010,Monitor,87,82,74,90,T
010,Laptop,97,100,109,95,T
011,Monitor,78,74,50,80,T
011,Laptop,91,90,84,82,T
012,Monitor,76,84,79,94,T
012,Laptop,90,73,89,95,T
013,Monitor,63,89,55,79,T
013,Laptop,99,83,83,100,T
014,Monitor,81,73,71,70,T
015,Monitor,62,0,94,0,T
016,Monitor,77,69,81,83,T
016,Laptop,82,81,92,83,T
017,Monitor,72,69,67,74,T
017,Laptop,72,66,66,76,T
018,Monitor,79,80,86,69,T
018,Laptop,96,99,68,69,T
019,Monitor,97,84,53,69,T
019,Laptop,84,89,54,85,T
020,Monitor,83,83,74,81,T
020,Laptop,101,86,100,90,T
021,Monitor,88,84,66,78,T
021,Laptop,85,94,92,87,T
022,Monitor,77,81,94,81,T
022,Laptop,81,85,92,96,T
023,Monitor,52,74,91,72,T
023,Laptop,0,35,0,20,T
024,Monitor,67,75,47,86,T
024,Laptop,32,29,22,22,T
025,Monitor,89,85,98,83,T
025,Laptop,0,38,29,32,T
026,Monitor,75,78,68,77,T
026,Laptop,50,90,79,88,T
027,Monitor,61,55,62,53,T
027,Laptop,50,82,45,50,T
028,Monitor,66,77,78,78,T
028,Laptop,78,90,86,78,T
029,Monitor,81,75,90,75,T
029,Laptop,83,89,96,98,T
030,Monitor,72,76,73,70,T
030,Laptop,89,100,75,80,T
031,Monitor,80,77,75,64,T
031,Laptop,75,92,87,98,T
032,Monitor,75,68,63,69,T
032,Laptop,87,91,91,97,T
033,Monitor,80,70,69,85,T
033,Laptop,86,99,83,80,T
034,Monitor,77,79,77,81,T
034,Laptop,85,77,90,80,T
035,Monitor,80,87,85,84,T
035,Laptop,80,87,94,78,T
036,Monitor,78,83,76,63,T
036,Laptop,64,91,41,62,T
037,Monitor,70,69,73,70,T
037,Laptop,69,88,75,80,T
038,Monitor,59,59,66,59,T
038,Laptop,77,73,85,67,T
039,Monitor,80,78,68,71,T
039,Laptop,92,95,74,88,T
040,Monitor,72,91,97,69,T
040,Laptop,93,95,85,92,T
041,Monitor,84,81,76,69,T
041,Laptop,73,93,82,93,T
042,Monitor,57,92,52,44,T
042,Laptop,79,81,93,76,T
043,Monitor,65,86,62,62,T
043,Laptop,93,106,102,75,T
044,Monitor,61,69,71,87,T
044,Laptop,87,78,96,75,T
045,Monitor,67,57,64,78,T
045,Laptop,84,102,83,84,T
046,Monitor,80,78,82,65,T
046,Laptop,84,85,77,82,T
047,Monitor,60,75,72,87,T
047,Laptop,71,93,77,86,T
048,Monitor,75,69,64,70,T
048,Laptop,85,60,78,91,T
049,Monitor,59,52,42,57,T
049,Laptop,67,78,62,78,T
050,Monitor,66,80,73,76,T
050,Laptop,68,83,83,64,T
051,Monitor,91,73,80,63,T
051,Laptop,75,68,82,85,T
052,Monitor,80,91,79,80,T
052,Laptop,89,88,88,89,T
053,Monitor,78,81,72,64,T
053,Laptop,99,82,88,81,T
054,Monitor,74,82,89,82,T
054,Laptop,92,87,88,82,T
055,Monitor,79,73,90,78,T
055,Laptop,101,99,94,86,T
056,Monitor,67,86,77,72,T
056,Laptop,90,94,76,96,T
057,Monitor,90,75,73,66,T
057,Laptop,77,88,91,90,T
058,Monitor,62,67,79,74,T
058,Laptop,84,80,91,100,T
059,Monitor,79,84,81,62,T
059,Laptop,91,85,53,64,T
060,Monitor,69,94,83,90,T
060,Laptop,106,93,90,86,T
061,Monitor,85,84,89,78,T
061,Laptop,87,82,87,93,T
062,Monitor,86,84,81,68,T
062,Laptop,82,88,103,93,T
063,Monitor,75,80,75,81,T
063,Laptop,93,84,103,97,T
064,Monitor,73,86,66,72,T
064,Laptop,77,94,73,88,T
065,Monitor,68,75,84,96,T
065,Laptop,89,93,97,98,T
066,Monitor,87,76,86,83,T
066,Laptop,83,92,93,88,T
067,Monitor,73,76,89,62,T
067,Laptop,89,90,84,73,T
068,Monitor,71,78,72,58,T
068,Laptop,76,86,97,103,T
069,Monitor,81,81,81,85,T
069,Laptop,107,96,96,91,T
070,Monitor,84,77,80,74,T
070,Laptop,100,83,92,96,T
071,Monitor,68,80,82,69,T
071,Laptop,94,87,90,91,T
072,Monitor,79,79,92,71,T
072,Laptop,93,96,83,93,T
073,Monitor,95,77,86,86,T
073,Laptop,89,88,87,76,T
074,Monitor,84,86,84,71,T
074,Laptop,107,95,87,85,T
075,Monitor,83,88,73,63,T
075,Laptop,70,84,62,87,T
076,Monitor,74,68,103,87,T
076,Laptop,89,91,78,85,T
077,Monitor,68,87,80,87,T
077,Laptop,97,99,94,97,T
078,Monitor,80,82,78,79,T
078,Laptop,91,92,77,87,T
079,Monitor,73,83,85,70,T
079,Laptop,82,58,93,90,T
080,Monitor,81,73,80,80,T
080,Laptop,87,79,95,89,T
081,Monitor,85,92,82,73,T
081,Laptop,73,72,86,96,T
082,Monitor,76,81,71,86,T
082,Laptop,82,75,93,80,T
083,Monitor,63,78,94,88,T
083,Laptop,91,89,88,89,T
084,Monitor,88,87,88,80,T
084,Laptop,76,87,102,89,T
085,Monitor,69,79,91,95,T
085,Laptop,98,87,88,80,T
086,Monitor,79,85,81,72,T
