UserID,디스플레이,상태,자세,방향,개수
001,Laptop,rgb,D,C,96
001,Laptop,rgb,D,D,93
001,Laptop,rgb,D,E,88
001,Laptop,rgb,D,F,96
001,Laptop,rgb,D,T,112
001,Laptop,rgb,D,U,94
001,Monitor,rgb,D,C,88
001,Monitor,rgb,D,D,91
001,Monitor,rgb,D,E,72
001,Monitor,rgb,D,S,91
001,Monitor,rgb,D,U,83
002,Laptop,rgb,D,C,108
002,Laptop,rgb,D,D,98
002,Laptop,rgb,D,E,106
002,Laptop,rgb,D,F,102
002,Laptop,rgb,D,T,88
002,Laptop,rgb,D,U,91
002,Monitor,rgb,D,C,95
002,Monitor,rgb,D,D,78
002,Monitor,rgb,D,E,84
002,Monitor,rgb,D,S,98
002,Monitor,rgb,D,U,100
003,Laptop,rgb,D,C,93
003,Laptop,rgb,D,D,95
003,Laptop,rgb,D,E,82
003,Laptop,rgb,D,F,95
003,Laptop,rgb,D,S,102
003,Laptop,rgb,D,U,47
003,Monitor,rgb,D,C,79
003,Monitor,rgb,D,D,89
003,Monitor,rgb,D,E,105
003,Monitor,rgb,D,S,72
003,Monitor,rgb,D,U,96
004,Laptop,rgb,D,C,89
004,Laptop,rgb,D,D,102
004,Laptop,rgb,D,E,94
004,Laptop,rgb,D,L,90
004,Laptop,rgb,D,S,60
004,Laptop,rgb,D,U,77
004,Monitor,rgb,D,C,88
004,Monitor,rgb,D,D,91
004,Monitor,rgb,D,E,87
004,Monitor,rgb,D,S,100
004,Monitor,rgb,D,U,54
005,Laptop,rgb,D,C,97
005,Laptop,rgb,D,D,92
005,Laptop,rgb,D,E,81
005,Laptop,rgb,D,F,90
005,Laptop,rgb,D,T,87
005,Laptop,rgb,D,U,63
005,Monitor,rgb,D,C,97
005,Monitor,rgb,D,D,73
005,Monitor,rgb,D,E,97
005,Monitor,rgb,D,S,102
005,Monitor,rgb,D,U,84
006,Laptop,rgb,D,C,100
006,Laptop,rgb,D,D,94
006,Laptop,rgb,D,E,98
006,Laptop,rgb,D,F,97
006,Laptop,rgb,D,T,110
006,Laptop,rgb,D,U,32
006,Monitor,rgb,D,C,105
006,Monitor,rgb,D,D,84
006,Monitor,rgb,D,E,85
006,Monitor,rgb,D,S,86
006,Monitor,rgb,D,U,75
007,Laptop,rgb,D,C,97
007,Laptop,rgb,D,D,93
007,Laptop,rgb,D,E,105
007,Laptop,rgb,D,F,104
007,Laptop,rgb,D,T,110
007,Laptop,rgb,D,U,92
007,Monitor,rgb,D,C,88
007,Monitor,rgb,D,D,83
007,Monitor,rgb,D,E,77
007,Monitor,rgb,D,S,85
007,Monitor,rgb,D,U,62
008,Laptop,rgb,D,C,38
008,Laptop,rgb,D,D,8
008,Laptop,rgb,D,F,85
008,Laptop,rgb,D,T,56
008,Laptop,rgb,D,E,14
008,Monitor,rgb,D,C,89
008,Monitor,rgb,D,D,78
008,Monitor,rgb,D,E,80
008,Monitor,rgb,D,S,84
008,Monitor,rgb,D,U,66
009,Laptop,rgb,D,C,89
009,Laptop,rgb,D,D,98
009,Laptop,rgb,D,E,94
009,Laptop,rgb,D,F,100
009,Laptop,rgb,D,T,108
009,Laptop,rgb,D,U,98
009,Monitor,rgb,D,C,78
009,Monitor,rgb,D,D,91
009,Monitor,rgb,D,E,102
009,Monitor,rgb,D,S,100
009,Monitor,rgb,D,U,80
010,Laptop,rgb,D,C,99
010,Laptop,rgb,D,D,100
010,Laptop,rgb,D,E,97
010,Laptop,rgb,D,F,87
010,Laptop,rgb,D,T,100
010,Laptop,rgb,D,U,91
010,Monitor,rgb,D,C,82
